#N, #batchCount, #result, #GPUtimeInMs, #CPUtime1InMs, #CPUtime4InMs, #CPUtime8InMs, #CPUtime16InMs, #memMB, #memByte
31, 50000, 0, 121.389000, 1112.598000, 281.051000, 151.655000, 91.115000, 202.178955, 212000000
32, 50000, 0, 112.111000, 1009.590000, 262.967000, 145.658000, 87.035000, 208.282471, 218400000
1, 100000, 0, 23.970000, 34.879000, 12.530000, 11.929000, 11.063000, 38.146973, 40000000
2, 100000, 0, 22.096000, 53.339000, 25.321000, 13.378000, 11.793000, 50.354004, 52800000
3, 100000, 0, 24.252000, 84.563000, 38.513000, 20.817000, 13.482000, 62.561035, 65600000
4, 100000, 0, 23.851000, 118.948000, 51.495000, 27.388000, 15.605000, 74.768066, 78400000
5, 100000, 0, 33.426000, 155.233000, 63.687000, 34.146000, 18.747000, 86.975098, 91200000
6, 100000, 0, 41.362000, 195.740000, 75.598000, 42.556000, 22.498000, 99.182129, 104000000
7, 100000, 0, 49.625000, 239.308000, 88.757000, 48.539000, 26.555000, 111.389160, 116800000
8, 100000, 0, 30.718000, 285.493000, 100.902000, 55.759000, 30.657000, 123.596191, 129600000
9, 100000, 0, 57.272000, 337.714000, 114.210000, 62.796000, 35.919000, 135.803223, 142400000
10, 100000, 0, 55.214000, 389.607000, 121.068000, 70.896000, 39.570000, 148.010254, 155200000
11, 100000, 0, 66.263000, 456.192000, 137.374000, 82.087000, 46.004000, 160.217285, 168000000
12, 100000, 0, 46.384000, 493.130000, 145.573000, 85.091000, 49.985000, 172.424316, 180800000
13, 100000, 0, 74.789000, 572.374000, 167.119000, 95.080000, 53.693000, 184.631348, 193600000
14, 100000, 0, 65.798000, 621.064000, 177.045000, 101.816000, 61.188000, 196.838379, 206400000
15, 100000, 0, 76.074000, 713.017000, 194.039000, 110.204000, 63.519000, 209.045410, 219200000
16, 100000, 0, 55.898000, 723.939000, 199.333000, 118.331000, 65.480000, 221.252441, 232000000
17, 100000, 0, 86.851000, 853.571000, 225.243000, 129.536000, 73.033000, 233.459473, 244800000
18, 100000, 0, 85.959000, 892.795000, 241.172000, 135.431000, 76.563000, 245.666504, 257600000
19, 100000, 0, 97.132000, 1021.105000, 262.272000, 143.199000, 86.251000, 257.873535, 270400000
20, 100000, 0, 85.629000, 1016.335000, 268.735000, 146.059000, 88.563000, 270.080566, 283200000
21, 100000, 0, 108.157000, 1192.099000, 300.775000, 166.665000, 97.616000, 282.287598, 296000000
22, 100000, 0, 107.243000, 1215.573000, 310.855000, 171.481000, 97.931000, 294.494629, 308800000
23, 100000, 0, 118.434000, 1372.892000, 343.519000, 190.336000, 104.021000, 306.701660, 321600000
24, 100000, 0, 104.782000, 1316.989000, 340.112000, 187.882000, 103.656000, 318.908691, 334400000
25, 100000, 0, 134.792000, 1566.444000, 384.778000, 201.355000, 122.575000, 331.115723, 347200000
26, 100000, 0, 132.251000, 1575.610000, 396.008000, 208.929000, 120.230000, 343.322754, 360000000
27, 100000, 0, 146.368000, 1780.187000, 430.724000, 227.348000, 129.978000, 355.529785, 372800000
28, 100000, 0, 136.994000, 1714.179000, 428.375000, 232.432000, 130.524000, 367.736816, 385600000
29, 100000, 0, 152.936000, 2028.021000, 486.632000, 249.903000, 145.832000, 379.943848, 398400000
